glottocode,language_name,lang_family,endangerment_level,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
savo1255,Savosavo,,1,0.0,2,2,,,threatened,1,1933.55538435227,1933.55538435227,29.04070091,29.04070091,30.6617188562194,30.6617188562194,4.52267698306251,4.52267698306251,0,0,0,0,0,0,0,0,0,1,0
tiwi1244,Tiwi,,1,0.0,,2,,,threatened,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
gaga1251,Gaagudju,,5,0.0,,,,,dormant,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
sius1254,Siuslaw,,5,0.0,,,,,dormant,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
umbu1235,Umbugarla,,5,0.0,,,,,dormant,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
mero1237,Meroitic,,5,0.0,,,,,,1,984.607666015625,984.607666015625,18.60000038,18.60000038,34.8673015510839,34.8673015510839,1.01305651386284,1.01305651386284,0,0,0,0,0,1,0,0,0,0,0
taus1253,Taushiro,,4,0.0,,5,,,critically endangered,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
yana1271,Yana,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
gule1241,Gule,,5,0.0,,,,,,1,984.607666015625,984.607666015625,18.60000038,18.60000038,34.8673015510839,34.8673015510839,1.01305651386284,1.01305651386284,0,0,0,0,0,1,0,0,0,0,0
urar1246,Urarina,,1,0.0,,2,,,threatened,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
wash1253,Washo,,3,0.0,,4,,,severely endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
pura1257,Purari,,1,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
tini1245,Tinigua,,4,0.0,,5,,,critically endangered,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
aika1237,Aikanã,,2,0.0,,3,0,0,vulnerable,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
yera1243,Yerakai,,1,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
laal1242,Laal,,1,0.0,,3,,,endangered,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
oyst1235,Oyster Bay-Big River-Little Swanport,,5,0.0,,,,,,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
else1239,Elseng,,1,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
